Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
Italy,Serie A,(BSC),Krzysztof Piatek,34,3,3147,23,17.23,0.52,118,52,3.56,1.57,2018
Germany,Bundesliga,(HOF),Andrej Kramaric,28,2,2527,16,19.42,0.73,110,43,4.14,1.62,2018
Germany,Bundesliga,(BMG),Alassane Plea,28,6,2613,12,11.28,0.41,83,41,3.02,1.49,2018
Germany,Bundesliga,(CHE),Kai Havertz,33,1,3033,16,11.17,0.35,87,42,2.73,1.32,2018
Germany,Bundesliga,(RMA),Luka Jovic,25,7,2353,17,14.12,0.57,97,42,3.92,1.7,2018
Germany,Bundesliga,(ACM),Ante Rebic,23,5,2075,11,9.17,0.42,61,28,2.79,1.28,2018
Germany,Bundesliga,(DOR),Jadon Sancho,26,8,2602,13,6.85,0.25,40,21,1.46,0.77,2018
Germany,Bundesliga,(FCA),Alfred Finnbogason,17,1,1385,10,10.21,0.7,40,18,2.74,1.23,2018
Germany,Bundesliga,(KOL),Ondrej Duda,30,2,2661,11,5.88,0.21,54,20,1.93,0.71,2018
Germany,Bundesliga,(VIL),Paco Alcacer,11,15,1312,18,9.39,0.68,52,27,3.77,1.96,2018
Germany,Bundesliga,(CHE),Timo Werner,29,1,2582,16,15.49,0.57,107,39,3.94,1.43,2018
Germany,Bundesliga,(SCH),Benito Raman,19,11,1781,10,6.19,0.33,55,26,2.93,1.39,2018
Germany,Bundesliga,(MON),Kevin Volland,32,2,2945,14,12.4,0.4,87,43,2.81,1.39,2018
Germany,Bundesliga,(WOB),Wout Weghorst,33,1,3061,17,16.11,0.5,73,34,2.27,1.06,2018
Germany,Bundesliga,(HOF),Ishak Belfodil,20,8,1965,18,10.14,0.49,88,36,4.25,1.74,2018
Germany,Bundesliga,(DOR),Marco Reus,27,0,2432,17,13.31,0.52,69,33,2.7,1.29,2018
Germany,Bundesliga,(MAI),Jean-Philippe Mateta,29,5,2587,14,11.71,0.43,97,34,3.56,1.25,2018
Germany,Bundesliga,(WHU),Sebastien Haller,23,6,2312,15,12.17,0.5,54,26,2.22,1.07,2018
Germany,Bundesliga,(UNB),Max Kruse,32,0,2975,11,9.39,0.3,91,40,2.91,1.28,2018
Germany,Bundesliga,(BAY),Robert Lewandowski,33,0,3090,22,29.27,0.9,144,51,4.43,1.57,2018
Germany,Bundesliga,(RBL),Yussuf Poulsen,27,4,2556,15,10.76,0.4,65,27,2.42,1,2018
France,France Ligue 11,(PSG),Angel Di Maria,28,2,2418,12,10.44,0.41,97,30,3.81,1.18,2018
France,France Ligue 20,(BOR),Remi Oudin,32,5,2719,10,7.73,0.27,78,24,2.73,0.84,2018
France,France Ligue 2,(ARS),Nicolas Pepe,37,1,3533,22,20.08,0.54,118,60,3.17,1.61,2018
France,France Ligue 12,(CAE),Emiliano Sala,16,3,1434,12,6.19,0.41,36,18,2.38,1.19,2018
France,France Ligue 9,(LIL),Jonathan Bamba,35,3,3190,13,7.39,0.22,67,28,2,0.83,2018
France,France Ligue 15,(REN),M'Baye Niang,19,10,1911,11,7.44,0.37,64,25,3.18,1.24,2018
France,France Ligue 6,(PSG),Neymar ,16,1,1517,15,12.62,0.79,54,25,3.38,1.57,2018
France,France Ligue 3,(MNU),Edinson Cavani,20,1,1747,18,16.73,0.91,52,22,2.83,1.2,2018
France,France Ligue 16,(ANG),Stephane Bahoken,31,1,2541,11,8.56,0.32,66,33,2.47,1.23,2018
France,France Ligue 14,(SIV),Max Gradel,36,0,3446,11,14.51,0.4,120,42,3.31,1.16,2018
France,France Ligue 4,(MAR),Florian Thauvin,30,3,2741,16,11.25,0.39,101,35,3.5,1.21,2018
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,24,5,2488,33,31.17,1.19,125,70,4.77,2.67,2018
France,France Ligue 10,(STE),Wahbi Khazri,32,0,3000,13,10.74,0.34,94,36,2.98,1.14,2018
France,France Ligue 7,(GAL),Falcao ,29,4,2699,15,14.21,0.5,94,41,3.31,1.44,2018
France,France Ligue 13,(MPE),Gaetan Laborde,36,1,3115,11,8.53,0.26,86,27,2.62,0.82,2018
France,France Ligue 8,(MPE),Andy Delort,36,0,3263,14,13.05,0.38,119,36,3.46,1.05,2018
France,France Ligue 5,(LYO),Moussa Dembele,21,12,2154,15,14.74,0.65,90,39,3.97,1.72,2018
France,France Ligue 19,(LYO),Memphis Depay,29,7,2900,10,13.43,0.44,110,39,3.6,1.28,2018
France,France Ligue 18,(STR),Lebo Mothiba,21,14,2154,10,7.03,0.31,36,19,1.59,0.84,2018
France,France Ligue 17,(LOK),Francois Kamano,29,8,2698,10,9.09,0.32,82,33,2.89,1.16,2018
England,Premier League,(CRY),Luka Milivojevic,38,0,3651,12,11.15,0.29,57,24,1.48,0.62,2018
England,Premier League,(BOU),Joshua King,34,1,3143,12,13.56,0.41,72,23,2.18,0.7,2018
England,Premier League,(MNU),Paul Pogba,34,1,3233,13,15.99,0.47,105,49,3.09,1.44,2018
England,Premier League,(LIV),Mohamed Salah,37,1,3417,22,20.5,0.57,137,63,3.81,1.75,2018
England,Premier League,(BUR),Ashley Barnes,26,11,2569,12,13.25,0.49,65,30,2.4,1.11,2018
England,Premier League,(WAT),Glenn Murray,30,8,2684,13,11.58,0.41,54,21,1.91,0.74,2018
England,Premier League,(EVE),Richarlison ,32,3,2822,14,11.88,0.4,83,28,2.79,0.94,2018
England,Premier League,(LIV),Sadio Mane,35,1,3236,22,15.33,0.45,87,42,2.55,1.23,2018
England,Premier League,(NEW),Callum Wilson,29,1,2714,14,14.57,0.51,65,29,2.28,1.02,2018
England,Premier League,(TOT),Son Heung-Min,23,8,2152,12,7.02,0.31,74,29,3.27,1.28,2018
England,Premier League,(TOT),Harry Kane,27,1,2580,17,15.48,0.57,102,46,3.76,1.69,2018
England,Premier League,(MNC),Sergio Aguero,31,2,2566,21,19.45,0.72,118,43,4.37,1.59,2018
England,Premier League,(RMA),Eden Hazard,32,5,3115,16,10.82,0.33,93,43,2.84,1.31,2018
England,Premier League,(ARS),Pierre-Emerick Aubameyang,30,6,2905,22,21.71,0.71,94,39,3.07,1.28,2018
England,Premier League,(EVE),Gylfi Sigurdsson,36,2,3302,13,11.12,0.32,86,33,2.47,0.95,2018
England,Premier League,(MNC),Raheem Sterling,31,3,2930,17,14.19,0.46,77,38,2.5,1.23,2018
England,Premier League,(LEI),Jamie Vardy,30,4,2886,18,17.62,0.58,79,38,2.6,1.25,2018
England,Premier League,(LEI),Ayoze Perez,34,3,3099,12,7.83,0.24,55,27,1.69,0.83,2018
England,Premier League,(ARS),Alexandre Lacazette,27,8,2670,14,11.52,0.41,81,28,2.88,1,2018
England,Premier League,(WOL),Raul Jimenez,36,2,3285,13,15.91,0.46,111,33,3.21,0.95,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(LYO),Lucas Paqueta,31,1,2962,10,9.04,0.29,95,40,3.05,1.28,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(BEN),Everton ,24,3,2175,9,12.59,0.55,88,38,3.84,1.66,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(COR),Juan Cazares,25,6,2487,8,5.76,0.22,66,18,2.52,0.69,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(ALA),Deyverson ,11,15,1367,9,7.63,0.53,41,19,2.85,1.32,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Pablo ,30,3,2808,12,10.94,0.37,64,29,2.17,0.98,2018
Brazil,Campeonato Brasileiro SÃ©rie A,None,Leandro Damiao ,19,7,3236,10,13.28,0.39,67,27,1.97,0.79,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(VDG),Yago Pikachu,34,1,3192,10,11.09,0.33,77,37,2.29,1.1,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(RMA),Rodrygo ,30,5,2850,8,8.1,0.27,52,23,1.73,0.77,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(SJE),Andres Rios,23,5,2188,7,7.37,0.32,43,18,1.87,0.78,2018
Brazil,Campeonato Brasileiro SÃ©rie A,None,Roger Guedes ,11,1,1081,9,6.14,0.54,42,20,3.69,1.76,2018
Brazil,Campeonato Brasileiro SÃ©rie A,None,Leandro Pereira ,26,8,2575,11,10.03,0.37,80,33,2.95,1.22,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,32,0,4177,11,11.43,0.26,51,21,1.16,0.48,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Pedro ,19,0,1689,9,9.07,0.51,56,18,3.15,1.01,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(TIG),Nico Lupez,26,9,3931,11,8.69,0.21,79,33,1.91,0.8,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(FLU),Nene ,29,6,2636,8,7.49,0.27,58,20,2.09,0.72,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(CFC),Ricardo Oliveira,35,0,3231,13,16.67,0.49,92,41,2.71,1.21,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(BAH),Gilberto ,18,3,1623,8,7,0.41,52,17,3.04,1,2018
Brazil,Campeonato Brasileiro SÃ©rie A,Bruno,Henrique ,27,6,2595,9,4.37,0.16,46,15,1.68,0.55,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(PAL),Willian ,21,11,2153,10,10.2,0.45,66,29,2.91,1.28,2018
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Gabriel Barbosa,34,1,3140,18,19.17,0.58,94,40,2.84,1.21,2018
USA,MLS,(LAF),Diego Rossi,35,1,3277,17,12.07,0.35,113,50,3.28,1.45,2019
USA,MLS,(ATA),Josef Martinez,32,0,3050,28,25.04,0.78,128,52,3.99,1.62,2019
USA,MLS,(ACM),Zlatan Ibrahimovic,31,0,2998,31,22.72,0.72,159,67,5.04,2.12,2019
USA,MLS,(SJE),Chris Wondolowski,24,8,2169,15,14.61,0.64,79,33,3.46,1.45,2019
USA,MLS,(ORL),Nani ,26,4,2464,12,8.82,0.34,64,25,2.47,0.96,2019
USA,MLS,(PHI),Kacper Przybylko,25,1,2420,15,12.23,0.48,81,37,3.18,1.45,2019
USA,MLS,(MIN),Kei Kamara,29,0,2740,14,17.59,0.61,94,44,3.26,1.53,2019
USA,MLS,(CHF),C.J. Sapong,29,3,2734,13,11.22,0.39,63,25,2.19,0.87,2019
USA,MLS,(CCR),Gyasi Zardes,28,0,2657,13,15.1,0.54,62,26,2.22,0.93,2019
USA,MLS,(NYC),Heber ,18,5,1742,15,11.37,0.62,56,26,3.05,1.42,2019
USA,MLS,(HDY),Mauro Manotas,28,4,2717,13,14.01,0.49,92,29,3.22,1.01,2019
USA,MLS,(COL),Brian Fernandez,16,3,1555,11,8.18,0.5,69,30,4.22,1.83,2019
USA,MLS,(TOR),Alejandro Pozuelo,32,2,3104,14,9.8,0.3,84,38,2.57,1.16,2019
USA,MLS,(SKC),Felipe Gutierrez,31,1,2905,12,9.48,0.31,65,28,2.13,0.92,2019
USA,MLS,(SOU),Jordan Morris,28,2,2521,13,9.55,0.36,48,24,1.81,0.9,2019
USA,MLS,(SOU),Raul Ruidiaz,24,2,2346,15,15.31,0.62,96,37,3.89,1.5,2019
USA,MLS,(TOR),Jozy Altidore,18,5,1834,12,8.69,0.45,51,25,2.64,1.29,2019
USA,MLS,(LAF),Carlos Vela,33,0,3128,36,25.35,0.77,167,75,5.07,2.28,2019
USA,MLS,(VID),Nemanja Nikolic,25,6,2118,12,14.05,0.63,48,22,2.15,0.99,2019
USA,MLS,(NYC FC),Alexandru Mitrita,25,5,2398,12,7.07,0.28,96,34,3.8,1.35,2019
Spain,La Liga,(ATL),Luis Suarez,22,6,2126,16,14.32,0.64,79,42,3.53,1.88,2019
Spain,La Liga,(RMA),Karim Benzema,36,1,3207,21,21.61,0.64,124,59,3.67,1.75,2019
Spain,La Liga,(ALA),Joselu,31,5,2990,11,13.22,0.42,87,30,2.76,0.95,2019
Spain,La Liga,(SEV),Carlos Fernandez,21,13,2428,10,10.48,0.41,47,19,1.84,0.74,2019
Spain,La Liga,(OSA),Ante Budimir,33,2,2923,13,12.31,0.4,56,22,1.82,0.72,2019
Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3247,10,8.89,0.26,62,22,1.81,0.64,2019
Spain,La Liga,(SOC),Willian Jose,24,13,2171,11,13.03,0.57,59,19,2.58,0.83,2019
Spain,La Liga,(VIL),Gerard Moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019
Spain,La Liga,(ALA),Lucas Perez,29,5,2673,11,11.25,0.4,48,18,1.71,0.64,2019
Spain,La Liga,(BET),Loren Moron,21,15,2222,10,9.12,0.39,52,18,2.22,0.77,2019
Spain,La Liga,(BIL),Raul Garcla,33,2,3034,15,12.77,0.4,81,33,2.54,1.03,2019
Spain,La Liga,(JUV),Morata ,25,9,2248,12,17.27,0.73,69,30,2.92,1.27,2019
Spain,La Liga,(GET),Angel Rodriguez,9,23,1611,10,8.14,0.48,53,23,3.13,1.36,2019
Spain,La Liga,(BAR),Lionel Messi,32,1,3067,25,21.63,0.67,159,68,4.93,2.11,2019
Spain,La Liga,(RMA),Sergio Ramos,35,0,3100,11,11.09,0.34,39,17,1.2,0.52,2019
Spain,La Liga,(SEV),Lucas Ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019
Spain,La Liga,Santi,Cazorla ,29,6,2513,11,8.73,0.33,49,24,1.85,0.91,2019
Spain,La Liga,(LEV),Roger ,26,10,2436,11,11.54,0.45,57,24,2.22,0.94,2019
Spain,La Liga,(GET),Jaime Mata,33,1,2923,11,12,0.39,58,23,1.89,0.75,2019
Spain,La Liga,(CEL),Iago Aspas,37,0,3474,14,15.72,0.43,84,39,2.3,1.07,2019
Portugal ,Primeira Liga,(LIS),Pote ,7,0,631,9,2.99,0.45,21,13,3.16,1.96,2019
Portugal ,Primeira Liga,None,Tiquinho Soares,20,10,1867,10,9.43,0.48,55,21,2.8,1.07,2019
Portugal ,Primeira Liga,(FAR),Eduardo Mancha,4,0,396,2,0.96,0.23,5,2,1.2,0.48,2019
Portugal ,Primeira Liga,(BRA),Paulinho ,27,2,2451,17,14.96,0.58,89,38,3.45,1.47,2019
Portugal ,Primeira Liga,None,Alex Telles,28,3,2732,11,8.05,0.28,39,17,1.36,0.59,2019
Portugal ,Primeira Liga,(BRA),Bruno Viana,8,0,780,2,1.31,0.16,7,2,0.85,0.24,2019
Portugal ,Primeira Liga,(AVE),Mehrdad Mohammadi,27,1,2495,8,7.35,0.28,56,19,2.13,0.72,2019
Portugal ,Primeira Liga,(FAM),Carlos Valenzuela,7,1,575,2,1.03,0.17,10,3,1.65,0.5,2019
Portugal ,Primeira Liga,(FAM),Ruben Lameiras,7,0,624,4,3.42,0.52,15,9,2.28,1.37,2019
Portugal ,Primeira Liga,(POR),Moussa Marega,27,2,2471,12,7.28,0.28,58,33,2.23,1.27,2019
Portugal ,Primeira Liga,(BEN),Gian-Luca Waldschmidt,7,1,605,4,3.57,0.56,15,6,2.36,0.94,2019
Portugal ,Primeira Liga,(GIL),Samuel Lino,6,1,591,3,2.18,0.35,16,5,2.57,0.8,2019
Portugal ,Primeira Liga,(VGU),Andre Andre,8,0,645,2,1.7,0.25,7,2,1.03,0.29,2019
Portugal ,Primeira Liga,(POR),Mehdi Taremi,26,4,2537,18,16.82,0.63,74,30,2.77,1.12,2019
Portugal ,Primeira Liga,(TOT),Carlos Vinicius,19,13,1928,18,12.38,0.61,66,27,3.25,1.33,2019
Portugal ,Primeira Liga,(POR),Sergio Oliveira,7,1,642,4,2.09,0.31,17,8,2.52,1.18,2019
Portugal ,Primeira Liga,(FER),Douglas Tanque,23,6,2054,11,7.57,0.35,72,24,3.33,1.11,2019
Portugal ,Primeira Liga,None,Fabio Abreu,27,7,2570,13,11.09,0.41,53,23,1.96,0.85,2019
Portugal ,Primeira Liga,(NAC),Brayan Riascos,8,0,736,3,2.17,0.28,26,11,3.36,1.42,2019
Portugal ,Primeira Liga,None,Alex Telles ,3,0,280,2,2.36,0.8,9,5,3.05,1.7,2019
Portugal ,Primeira Liga,None,Fabio Martins,29,0,2633,12,9.15,0.33,69,36,2.49,1.3,2019
Portugal ,Primeira Liga,(BEN),Haris  Seferovic,2,5,337,6,3.33,0.94,12,7,3.38,1.97,2019
Portugal ,Primeira Liga,(FER),Douglas Tanque,7,0,644,2,2.51,0.37,25,9,3.69,1.33,2019
Portugal ,Primeira Liga,(FEY),Joao Teixeira,14,7,1416,8,3.58,0.24,34,14,2.28,0.94,2019
Portugal ,Primeira Liga,(MNU),Bruno Fernandes,17,0,1656,8,5.58,0.32,60,23,3.44,1.32,2019
Portugal ,Primeira Liga,(BOA),Angel Gomes,6,0,530,3,1.12,0.2,12,3,2.15,0.54,2019
Portugal ,Primeira Liga,(POR),Toni MartÃ­nez,27,5,2312,10,10.46,0.43,74,29,3.04,1.19,2019
Portugal ,Primeira Liga,(BEN),Pizzi ,33,1,2981,18,15.69,0.5,83,39,2.65,1.24,2019
Portugal ,Primeira Liga,(MIJ),Bozhidar Kraev,28,4,2399,8,4.55,0.18,46,19,1.82,0.75,2019
Portugal ,Primeira Liga,None,Sandro Lima,29,3,2747,10,10.12,0.35,66,31,2.28,1.07,2019
Portugal ,Primeira Liga,(MAR),Rodrigo Pinho,18,9,1732,9,6.56,0.36,48,22,2.63,1.21,2019
Portugal ,Primeira Liga,(MAR),Rodrigo Pinho,7,1,646,6,3.06,0.45,17,8,2.5,1.18,2019
Portugal ,Primeira Liga,(SAN),Thiago Santana,8,0,714,6,3.31,0.44,24,12,3.19,1.6,2019
Portugal ,Primeira Liga,(BEN),Everton ,8,0,622,2,1.05,0.16,11,7,1.68,1.07,2019
Portugal ,Primeira Liga,(BAR),Trincao ,17,10,1749,8,4.6,0.25,47,19,2.55,1.03,2019
Portugal ,Primeira Liga,(LIS),Andraz Sporar,3,4,356,2,3.41,0.91,14,7,3.74,1.87,2019
Portugal ,Primeira Liga,(BRA),Ricardo Horta,31,2,2750,12,8.97,0.31,93,37,3.21,1.28,2019
Portugal ,Primeira Liga,(VGU),Bruno Duarte,6,1,509,2,1.77,0.33,13,3,2.43,0.56,2019
Portugal ,Primeira Liga,(LIS),Nuno Santos,6,2,567,3,1.55,0.26,10,5,1.68,0.84,2019
Portugal ,Primeira Liga,(VGU),Bruno Duarte,18,6,1684,8,5.5,0.31,42,16,2.37,0.9,2019
Italy,Serie A,(NAP),Arkadiusz Milik,19,7,1870,11,9.45,0.48,68,29,3.45,1.47,2019
Italy,Serie A,(INT),Romelu Lukaku,33,3,3156,23,18.94,0.57,99,47,2.98,1.41,2019
Italy,Serie A,(Sassuolo ),Francesco Caputo,33,3,3125,21,13.82,0.42,73,35,2.22,1.06,2019
Italy,Serie A,(ROM),Edin Dzeko,31,4,3075,16,19.74,0.61,122,46,3.77,1.42,2019
Italy,Serie A,(NAP),Andrea Petagna,33,3,3263,12,13.74,0.4,110,33,3.2,0.96,2019
Italy,Serie A,(JUV),Cristiano Ronaldo,33,0,3127,31,27.32,0.83,208,79,6.32,2.4,2019
Italy,Serie A,(SAS),Domenico Berardi,29,2,2654,14,10.9,0.39,120,46,4.3,1.65,2019
Italy,Serie A,(CAG),Joao Pedro,35,1,3394,18,13.93,0.39,87,37,2.44,1.04,2019
Italy,Serie A,(ATA),Josip Ilicic,21,5,1786,15,9.78,0.52,81,36,4.31,1.91,2019
Italy,Serie A,None,Andreas Cornelius,17,9,1637,12,6.38,0.37,46,20,2.67,1.16,2019
Italy,Serie A,(CAG),Giovanni Simeone,34,3,3115,12,11.8,0.36,87,30,2.65,0.91,2019
Italy,Serie A,(LAZ),Ciro Immobile,36,1,3371,36,26.61,0.75,142,71,4,2,2019
Italy,Serie A,(LEC),Marco Mancosu,28,5,2627,14,15.21,0.55,84,31,3.04,1.12,2019
Italy,Serie A,(ATA),Duvan Zapata,25,3,2143,18,15.11,0.67,89,37,3.95,1.64,2019
Italy,Serie A,(INT),Lautaro Martrinez,29,6,2581,14,14.4,0.53,125,44,4.6,1.62,2019
Italy,Serie A,(ATA),Luis Muriel,10,23,1370,18,12.4,0.86,77,41,5.34,2.84,2019
Italy,Serie A,(SAM),Fabio Quagliarella,26,2,2413,11,13.72,0.54,102,35,4.02,1.38,2019
Italy,Serie A,(BEN),Gianluca Lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019
Italy,Serie A,(ACM),Ante Rebic,15,11,1514,11,6.85,0.43,42,20,2.64,1.25,2019
Italy,Serie A,(TOR),Andrea Belotti,34,2,3214,16,16.58,0.49,104,41,3.07,1.21,2019
Germany,Bundesliga,(DOR),Jadon Sancho,25,7,2387,17,9.8,0.39,52,28,2.07,1.11,2019
Germany,Bundesliga,(CHE),Timo Werner,33,1,2744,28,20.8,0.72,123,63,4.26,2.18,2019
Germany,Bundesliga,(WOB),Wout Weghorst,30,2,2893,16,18.27,0.6,85,38,2.79,1.25,2019
Germany,Bundesliga,(HOF),Andrej Kramaric,14,5,1502,12,9.33,0.59,43,23,2.72,1.45,2019
Germany,Bundesliga,(DOR),Marco Reus,18,1,1561,11,8.54,0.52,47,24,2.86,1.46,2019
Germany,Bundesliga,(CHE),Kai Havertz,29,1,2586,12,9.53,0.35,59,26,2.17,0.96,2019
Germany,Bundesliga,(BMG),Marcus Thuram,28,3,2296,10,10.15,0.42,56,36,2.32,1.49,2019
Germany,Bundesliga,(DUS),Rouwen Hennings,27,5,2592,15,10.91,0.4,73,27,2.68,0.99,2019
Germany,Bundesliga,(BAY),Robert Lewandowski,31,0,2783,34,31.05,1.06,138,67,4.71,2.29,2019
Germany,Bundesliga,(FRA),Andre Silva,16,9,1694,12,10.7,0.6,55,21,3.08,1.18,2019
Germany,Bundesliga,(FCA),Florian Niederlechner,31,2,2846,13,13.18,0.44,78,40,2.6,1.34,2019
Germany,Bundesliga,(DOR),Erling Haaland,11,4,1116,12,7.64,0.65,34,19,2.89,1.62,2019
Germany,Bundesliga,(BSC),Jhon Cordoba,23,6,2108,13,8.88,0.4,61,25,2.75,1.13,2019
Germany,Bundesliga,(MON),Kevin Volland,24,3,2159,10,11.59,0.51,78,32,3.43,1.41,2019
Germany,Bundesliga,(SCF),Nils Petersen,24,10,2595,11,8.47,0.31,55,19,2.01,0.7,2019
Germany,Bundesliga,(BMG),Lars Stindl,14,11,1518,9,7.19,0.45,33,15,2.07,0.94,2019
Germany,Bundesliga,(MAI),Robin Quaison,31,1,2718,13,12.02,0.42,71,28,2.48,0.98,2019
Germany,Bundesliga,(BAY),Serge Gnabry,26,5,2216,12,13.3,0.57,95,40,4.07,1.71,2019
Germany,Bundesliga,(KOL),Sebastian Andersson,31,2,2813,12,13.62,0.46,65,37,2.2,1.25,2019
Germany,Bundesliga,(BMG),Alassane Plea,25,2,2252,10,11.62,0.49,77,35,3.25,1.48,2019
France,France Ligue 7,(PSG),Neymar ,15,0,1396,12,15.87,1.08,71,36,4.83,2.45,2019
France,France Ligue 13,(MAR),Dimitri Payet,22,0,2057,9,5.85,0.27,63,26,2.91,1.2,2019
France,France Ligue 6,(PSG),Mauro Icardi,14,6,1353,12,12.11,0.85,36,20,2.53,1.4,2019
France,France Ligue 15,(LYO),Memphis Depay,12,1,1077,9,4.53,0.4,48,21,4.23,1.85,2019
France,France Ligue 9,(NIC),Kasper Dolberg,22,1,1994,11,7.77,0.37,42,25,2,1.19,2019
France,France Ligue 11,(REN),M'Baye Niang,24,2,2276,10,8.15,0.34,66,30,2.75,1.25,2019
France,France Ligue 20,(STR),Adrien Thomasson,24,1,2168,7,5.25,0.23,50,18,2.19,0.79,2019
France,France Ligue 12,(MPE),Andy Delort,26,0,2409,9,10.9,0.43,84,29,3.31,1.14,2019
France,France Ligue 8,(MAR),Dario Benedetto,25,1,2214,11,8.86,0.38,61,27,2.62,1.16,2019
France,France Ligue 2,(MON),Wissam Ben Yedder,25,1,2321,18,12.95,0.53,64,36,2.62,1.47,2019
France,France Ligue 19,(STR),Ludovic Ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019
France,France Ligue 14,(LEI),Islam Slimani,14,4,1378,9,8.7,0.6,53,20,3.65,1.38,2019
France,France Ligue 17,(REN),Adrien Hunou,13,10,1325,8,7.25,0.52,28,15,2.01,1.08,2019
France,France Ligue 10,(STE),Denis Bouanga,23,3,2173,10,9.38,0.41,78,37,3.41,1.62,2019
France,France Ligue 16,(REN),Sehrou Guirassy,23,0,2030,9,8.55,0.4,45,19,2.11,0.89,2019
France,France Ligue 18,(PSG),Ãngel Di Maria,23,3,2106,8,9.98,0.45,74,24,3.34,1.08,2019
France,France Ligue 3,(LYO),Moussa Dembele,24,3,2358,16,11.42,0.46,56,26,2.26,1.05,2019
France,France Ligue 5,(STR),Habib Diallo,26,0,2344,12,9.13,0.37,83,34,3.36,1.38,2019
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,17,3,1611,18,17.98,1.06,87,49,5.13,2.89,2019
