Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
France,France Ligue 4,(NAP),Victor Osimhen,25,2,2434,13,14.86,0.58,86,35,3.36,1.37,2019
England,Premier League,(EVE),Dominic Calvert-Lewin,30,6,2849,13,16.19,0.54,85,38,2.83,1.27,2019
England,Premier League,(WOL),Raul Jimenez,37,1,3445,17,18.49,0.51,118,43,3.25,1.19,2019
England,Premier League,(MNC),Kevin De Bruyne,32,3,2984,13,7.22,0.23,99,31,3.15,0.99,2019
England,Premier League,(LEI),Jamie Vardy,34,1,3271,23,19.28,0.56,89,42,2.58,1.22,2019
England,Premier League,(MNC),Raheem Sterling,30,3,2836,20,20.3,0.68,99,38,3.32,1.27,2019
England,Premier League,(LIV),Sadio Mane,31,4,2933,18,14.51,0.47,77,36,2.49,1.17,2019
England,Premier League,(BUR),Chris Wood,29,3,2616,14,17.07,0.62,65,29,2.36,1.05,2019
England,Premier League,(MNU),Anthony Martial,31,1,2788,17,11.74,0.4,80,39,2.73,1.33,2019
England,Premier League,(MNC),Riyad Mahrez,21,12,2130,11,7.62,0.34,74,31,3.3,1.38,2019
England,Premier League,(TOT),Son Heung-Min,28,2,2663,11,9.25,0.33,81,38,2.89,1.36,2019
England,Premier League,(MNU),Marcus Rashford,31,0,2826,17,19.93,0.67,95,44,3.19,1.48,2019
England,Premier League,(LIV),Mohamed Salah,33,1,3045,19,20.51,0.64,132,59,4.12,1.84,2019
England,Premier League,(MNC),Gabriel Jesus,21,13,2209,14,20.69,0.89,101,46,4.34,1.98,2019
England,Premier League,(SOU),Danny Ings,32,6,3009,22,16.79,0.53,93,37,2.94,1.17,2019
England,Premier League,(ARS),Pierre-Emerick Aubameyang,35,1,3392,22,16.07,0.45,93,42,2.6,1.18,2019
England,Premier League,(TOT),Harry Kane,29,0,2801,18,12.97,0.44,81,37,2.75,1.25,2019
England,Premier League,(EVE),Richarlison  ,36,0,3289,13,10.73,0.31,90,32,2.6,0.92,2019
England,Premier League,(NOR),Teemu Pukki,33,3,3087,11,11.37,0.35,80,35,2.46,1.08,2019
England,Premier League,(CHE),Tammy Abraham,25,9,2380,15,19.29,0.77,88,35,3.51,1.4,2019
England,Premier League,(MNC),Sergio Aguero,18,6,1566,16,15.5,0.94,76,27,4.61,1.64,2019
Brazil,Campeonato Brasileiro SÃ©rie A,None,Dudu ,34,2,3313,9,9.42,0.27,95,38,2.72,1.09,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(INT),Thiago Galhardo,31,3,2901,12,14.35,0.47,80,32,2.62,1.05,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(INT),Paolo Guerrero,23,1,2193,10,10.85,0.47,81,33,3.51,1.43,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Pepe,14,18,1836,8,8.7,0.45,46,16,2.38,0.83,2019
Brazil,Campeonato Brasileiro SÃ©rie A,Bruno,Henrique ,33,1,3149,10,4.97,0.15,58,22,1.75,0.66,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Giorgian de Arrascaeta,22,1,1929,12,9.34,0.46,47,19,2.31,0.94,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(SAN),Marinho ,18,11,1917,8,6.66,0.33,73,26,3.62,1.29,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(BEN),Everton ,23,7,2498,11,9.2,0.35,83,32,3.16,1.22,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(BAH),Gilberto ,27,5,2524,14,15.94,0.6,80,31,3.01,1.17,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Michael ,35,0,3180,10,9.37,0.28,80,32,2.39,0.96,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(SAN),Carlos Sanchez,27,7,2648,12,11.99,0.43,85,29,3.05,1.04,2019
Brazil,Campeonato Brasileiro SÃ©rie A,None,Everaldo ,33,0,3233,14,13.27,0.39,116,39,3.41,1.15,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(RBB),Artur ,32,0,3049,7,5.78,0.18,64,19,1.99,0.59,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Gabriel Barbosa,29,0,2716,25,24.59,0.86,117,62,4.09,2.17,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(FOR),Wellington Paulista,28,3,2650,13,13.67,0.49,66,29,2.37,1.04,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Bruno Henrique,29,4,2822,21,21.09,0.71,98,46,3.3,1.55,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(chongqing dangdai lifan f.c),Marcelo  Cirino,19,10,2062,9,9.33,0.43,51,17,2.35,0.78,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(SAN),Yeferson Soteldo,31,1,2883,9,8.8,0.29,68,26,2.24,0.86,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(CAM),Eduardo Sasha,34,3,3181,14,14.06,0.42,77,36,2.3,1.08,2019
Brazil,Campeonato Brasileiro SÃ©rie A,(GOI),Rafael Moura,19,4,1661,9,8.22,0.47,48,14,2.75,0.8,2019
 Netherlands,Eredivisie,(AJA),Antony None,8,1,575,4,1.63,0.27,20,8,3.3,1.32,2019
 Netherlands,Eredivisie,(AJA),Quincy Promes,4,6,574,4,2.9,0.48,22,10,3.64,1.66,2019
 Netherlands,Eredivisie,(AJA),Dusan Tadic,9,1,719,7,4.24,0.56,20,13,2.64,1.72,2019
 Netherlands,Eredivisie,(VIT),Armando Broja,6,4,569,5,2.52,0.42,12,6,2,1,2019
 Netherlands,Eredivisie,(FEY),Steven Berghuis,10,0,896,9,8.77,0.93,39,21,4.14,2.23,2019
 Netherlands,Eredivisie,(EMM),Michael de Leeuw,8,0,723,5,2.89,0.38,15,7,1.97,0.92,2019
 Netherlands,Eredivisie,(VIT),Lois Openda,10,0,775,5,2.94,0.36,28,9,3.43,1.1,2019
 Netherlands,Eredivisie,(TWE),Danilo Nome,10,0,827,9,7.05,0.81,31,16,3.56,1.84,2019
 Netherlands,Eredivisie,(SPR),Lennart Thy,10,0,768,6,4.37,0.54,20,11,2.47,1.36,2019
 Netherlands,Eredivisie,(PSV),Donyell Malen,7,3,725,6,6.11,0.8,32,17,4.19,2.23,2019
 Netherlands,Eredivisie,(PSV),Noni Madueke,3,7,524,4,2.87,0.52,17,7,3.08,1.27,2019
 Netherlands,Eredivisie,(AJA),Davy Klaassen,6,0,490,5,4.02,0.78,13,8,2.52,1.55,2019
 Netherlands,Eredivisie,(VIT),Oussama Tannane,8,0,680,4,2.65,0.37,40,9,5.59,1.26,2019
 Netherlands,Eredivisie,(TWE),Vaclav Cerny,10,0,824,4,1.39,0.16,21,12,2.42,1.38,2019
 Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,10,0,927,4,2.83,0.29,26,15,2.66,1.54,2019
 Netherlands,Eredivisie,(HEE),Henk Veerman,10,0,916,8,4.44,0.46,32,14,3.32,1.45,2019
 Netherlands,Eredivisie,(SPR),Abdou Harroui,10,0,834,4,1.93,0.22,24,13,2.73,1.48,2019
 Netherlands,Eredivisie,(HER),Rai Vloet,10,0,853,7,4.49,0.5,21,9,2.34,1,2019
 Netherlands,Eredivisie,(AJA),Lassina Traore,6,4,506,7,4.21,0.79,18,8,3.38,1.5,2019
 Netherlands,Eredivisie,(VVV),Georgios Giakoumakis,10,0,911,9,7.19,0.75,35,14,3.65,1.46,2019
USA,MLS,(TOR),Alex Pozuelo,24,0,2247,9,8.28,0.35,57,25,2.41,1.06,2020
USA,MLS,(MIN),Kevin Molino,16,3,1430,11,6.32,0.42,43,20,2.86,1.33,2020
USA,MLS,(RSL),Damir Kreilach,20,1,1872,8,6.11,0.31,48,19,2.44,0.96,2020
USA,MLS,(LAF),Bradley Wright-Phillips,15,4,1190,8,5.89,0.47,33,15,2.63,1.2,2020
USA,MLS,(LAF),Diego Rossi,19,0,1816,14,11.85,0.62,71,34,3.71,1.78,2020
USA,MLS,(SOU),Nicolas Lodeiro,21,0,2014,8,6.36,0.3,43,19,2.03,0.9,2020
USA,MLS,(SOU),Raul Ruidiaz,18,0,1626,14,8.56,0.5,58,24,3.39,1.4,2020
USA,MLS,(ORL),Daryl Dike,17,2,1482,8,3.74,0.24,33,13,2.12,0.83,2020
USA,MLS,(CCR),Gyasi Zardes,22,1,2034,14,11.99,0.56,50,25,2.34,1.17,2020
USA,MLS,(LAG),Cristian Pavon,22,0,2106,10,5.99,0.27,63,25,2.84,1.13,2020
USA,MLS,(ORL),Chris Mueller,19,5,1726,10,6,0.33,38,20,2.09,1.1,2020
USA,MLS,(MON),Romell Quioto,18,2,1676,9,5.82,0.33,54,23,3.06,1.3,2020
USA,MLS,(SOU),Jordan Morris,19,4,1927,11,8.32,0.41,43,19,2.12,0.94,2020
USA,MLS,(PHI),Kacper Przybylko,24,0,2216,8,8.63,0.37,56,27,2.4,1.16,2020
USA,MLS,(NER),Gustavo Bou,17,4,1701,8,6.8,0.38,81,28,4.52,1.56,2020
USA,MLS,(CHF),Robert Beric,22,1,2063,13,9.99,0.46,62,28,2.86,1.29,2020
USA,MLS,(TOR),Ayo Akinola,11,5,1195,9,7.3,0.58,37,19,2.94,1.51,2020
USA,MLS,(POR),Jeremy Ebobisse,11,8,1189,8,3.63,0.29,33,15,2.64,1.2,2020
USA,MLS,(POR),Diego Valeri,19,4,1864,8,5.3,0.27,44,17,2.24,0.87,2020
USA,MLS,(SJE),Chris Wondolowski,14,9,1509,8,7.31,0.46,35,20,2.2,1.26,2020
Spain,La Liga,(SEV),Youssef   En-Nesyri,5,4,465,4,3.33,0.68,14,4,2.86,0.82,2020
Spain,La Liga,(SOC),Portu ,6,5,691,4,1.53,0.21,6,4,0.82,0.55,2020
Spain,La Liga,(RMA),Karim Benzema,8,0,741,4,4.91,0.63,27,12,3.46,1.54,2020
Spain,La Liga,(VAL),Carlos Soler,6,1,599,4,3.34,0.53,8,5,1.27,0.79,2020
Spain,La Liga,(BET),Cristian Tello,7,4,629,4,1.92,0.29,22,8,3.32,1.21,2020
Spain,La Liga,(SOC),Mikel Oyarzabal,9,2,736,7,6.82,0.88,31,16,4,2.07,2020
Spain,La Liga,(EIB),Esteban Burgos,6,1,589,3,2.85,0.46,5,4,0.81,0.65,2020
Spain,La Liga,(ALA),Lucas Perez,7,2,637,3,4.36,0.65,13,6,1.94,0.89,2020
Spain,La Liga,(BAR),Lionel Messi,8,1,824,4,5.46,0.63,39,19,4.5,2.19,2020
Spain,La Liga,(ATL),Joao Felix,6,3,641,5,3.85,0.57,21,6,3.11,0.89,2020
Spain,La Liga,(ATL),Luis Suarez,5,1,387,5,3.3,0.81,22,8,5.4,1.96,2020
Spain,La Liga,(VIL),Paco Alcacer,9,0,693,5,5.11,0.7,16,8,2.19,1.1,2020
Spain,La Liga,(LEV),Morales ,10,0,758,4,2.71,0.34,17,8,2.13,1,2020
Spain,La Liga,(RMA),Federico Valverde,6,2,566,3,1.13,0.19,9,5,1.51,0.84,2020
Spain,La Liga,(BAR),Antoine Griezmann,8,1,634,3,3.67,0.55,18,8,2.7,1.2,2020
Spain,La Liga,(CEL),Iago Aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020
Spain,La Liga,(EIB),Kike GarcIa,9,1,790,3,2.83,0.34,19,8,2.28,0.96,2020
Spain,La Liga,(GET),Angel Rodriguez,3,6,501,4,2.06,0.39,14,7,2.65,1.33,2020
Spain,La Liga,(BAR),Ansu Fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020
Spain,La Liga,(VIL),Gerard Moreno,9,0,822,6,6.4,0.74,29,11,3.35,1.27,2020
Italy,Serie A,(BOL),Roberto Soriano,9,0,849,5,2.41,0.27,18,7,2.01,0.78,2020
Italy,Serie A,(SAS),Francesco Caputo,6,0,567,5,3.52,0.59,18,9,3.02,1.51,2020
Italy,Serie A,(CAG),Joao Pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020
Italy,Serie A,(ATA),Alejandro Gomez,9,0,643,4,2.23,0.33,28,11,4.14,1.63,2020
Italy,Serie A,(TOR),Andrea Belotti,8,0,754,7,3.49,0.44,24,11,3.02,1.39,2020
Italy,Serie A,(FIO),Gaetano Castrovilli,9,0,755,4,1.43,0.18,11,7,1.38,0.88,2020
Italy,Serie A,(CAG),Giovanni Simeone,8,0,664,5,3.29,0.47,15,5,2.15,0.72,2020
Italy,Serie A,(SAS),Domenico Berardi,8,0,766,4,2.02,0.25,21,11,2.6,1.36,2020
Italy,Serie A,(ROM),Henrikh Mkhitaryan,9,0,825,5,5.82,0.67,30,14,3.45,1.61,2020
Italy,Serie A,(ROM),Jordan Veretout,9,0,769,4,3.48,0.43,18,7,2.22,0.86,2020
Italy,Serie A,(PAR),Gervinho ,8,0,669,4,1.97,0.28,13,5,1.85,0.71,2020
Italy,Serie A,(INT),Lautaro MartInez,7,2,656,5,2.35,0.34,29,11,4.2,1.59,2020
Italy,Serie A,(ATA),Luis Muriel,3,4,264,4,2.78,1,20,7,7.2,2.52,2020
Italy,Serie A,(JUV),Cristiano Ronaldo,5,1,397,8,5.31,1.27,26,13,6.22,3.11,2020
Italy,Serie A,(INT),Romelu Lukaku,6,2,580,7,7.27,1.19,22,10,3.6,1.64,2020
Italy,Serie A,(NAP),Dries Mertens,9,0,616,4,2.46,0.38,24,11,3.7,1.7,2020
Italy,Serie A,(LAZ),Ciro Immobile,6,1,571,5,3.73,0.62,22,8,3.66,1.33,2020
Italy,Serie A,(SAM),Fabio Quagliarella,8,1,694,5,4.46,0.61,23,9,3.15,1.23,2020
Italy,Serie A,(ACM),Zlatan Ibrahimovic,6,0,557,10,7.92,1.35,35,16,5.97,2.73,2020
Italy,Serie A,(NAP),Hirving Lozano,9,0,568,4,2.93,0.49,18,11,3.01,1.84,2020
Germany,Bundesliga,(LEV),Lucas Alario,6,1,561,7,3.07,0.52,20,11,3.39,1.86,2020
Germany,Bundesliga,(FRA),Bas Dost,8,1,732,3,3.24,0.42,14,8,1.82,1.04,2020
Germany,Bundesliga,(BAY),Serge Gnabry,7,1,626,4,1.58,0.24,18,9,2.73,1.37,2020
Germany,Bundesliga,(WOB),Wout Weghorst,8,1,778,6,5.57,0.68,25,14,3.05,1.71,2020
Germany,Bundesliga,(RBL),Dani Olmo,9,0,834,4,2.28,0.26,19,8,2.16,0.91,2020
Germany,Bundesliga,(KOL),Ellyes Skhiri,8,0,709,3,1.87,0.25,6,3,0.8,0.4,2020
Germany,Bundesliga,(BAY),Thomas Muller,9,0,822,4,3.2,0.37,13,5,1.5,0.58,2020
Germany,Bundesliga,(UNB),Max Kruse,7,2,669,6,4.44,0.63,13,10,1.85,1.42,2020
Germany,Bundesliga,(FRA),Andre Silva,9,0,802,7,7.43,0.88,37,16,4.38,1.9,2020
Germany,Bundesliga,(FCA),Andre Hahn,7,2,547,3,1.44,0.25,12,6,2.08,1.04,2020
Germany,Bundesliga,(MAI),Jean-Philippe Mateta,9,0,723,7,6.01,0.79,23,12,3.02,1.58,2020
Germany,Bundesliga,(HOF),Andrej Kramaric,5,0,481,7,4.61,0.91,23,14,4.54,2.77,2020
Germany,Bundesliga,(SVW),Niclas Fullkrug,4,1,293,4,3.02,0.98,13,7,4.22,2.27,2020
Germany,Bundesliga,(BMG),Lars Stindl,7,2,567,4,3.52,0.59,19,9,3.18,1.51,2020
Germany,Bundesliga,(FCA),Daniel Caligiuri,9,0,841,3,0.8,0.09,11,5,1.24,0.56,2020
Germany,Bundesliga,(DOR),Erling Haaland,7,1,683,10,6.76,0.94,30,14,4.17,1.95,2020
Germany,Bundesliga,(BSC),Jhon Cordoba,5,2,493,3,2.23,0.43,18,5,3.47,0.96,2020
Germany,Bundesliga,(SCF),Nils Petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020
Germany,Bundesliga,(BSC),Matheus Cunha,9,0,857,6,3.43,0.38,26,15,2.88,1.66,2020
Germany,Bundesliga,(BAY),Robert Lewandowski,7,1,672,12,7.78,1.1,35,17,4.95,2.4,2020
France,France Ligue 18,(NAN),Ludovic Blas,11,1,990,4,1.88,0.18,19,7,1.82,0.67,2020
France,France Ligue 12,(ANG),Stephane Bahoken,8,2,644,5,3.53,0.52,30,14,4.43,2.07,2020
France,France Ligue 9,(LYO),Karl Toko,9,1,822,5,5.88,0.68,27,12,3.12,1.39,2020
France,France Ligue 10,(MON),Kevin Volland,9,1,709,5,3.43,0.46,12,11,1.61,1.47,2020
France,France Ligue 3,(MPE),Andy Delort,11,0,902,6,4.18,0.44,31,14,3.26,1.47,2020
France,France Ligue 4,(LIL),Burak Yilmaz,10,1,903,6,4.56,0.48,28,17,2.95,1.79,2020
France,France Ligue 5,(MET),Ibrahima Niane,6,0,482,6,3.45,0.68,21,9,4.14,1.77,2020
France,France Ligue 2,(REI),Boulaye Dia,9,1,772,8,5.28,0.65,25,12,3.08,1.48,2020
France,France Ligue 20,(PSG),Moise Kean,6,0,454,4,3.2,0.67,14,5,2.93,1.05,2020
France,France Ligue 15,(LEN),Ignatius Ganago,6,3,452,4,3.33,0.7,14,7,2.94,1.47,2020
France,France Ligue 8,(BRE),Irvin Cardona,6,5,627,5,2.71,0.41,21,8,3.18,1.21,2020
France,France Ligue 6,(MON),Wissam Ben,10,1,879,6,5.74,0.62,30,8,3.24,0.86,2020
France,France Ligue 14,(MAR),Florian Thauvin,10,0,835,4,2.99,0.34,21,8,2.39,0.91,2020
France,France Ligue 13,(NIC),Amine Gouiri,9,2,903,4,3.33,0.35,26,10,2.74,1.05,2020
France,France Ligue 16,(LIL),Jonathan Bamba,11,1,1061,4,1.68,0.15,25,9,2.24,0.81,2020
France,France Ligue 17,(STR),Ludovic Ajorque,11,0,1008,4,3.61,0.34,17,8,1.6,0.75,2020
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,7,1,610,9,6.81,1.06,33,20,5.14,3.11,2020
France,France Ligue 19,(DIJ),Mama Balde,8,0,669,4,4.01,0.57,30,10,4.26,1.42,2020
France,France Ligue 11,(LYO),Memphis Depay,9,3,903,5,4.75,0.5,30,10,3.16,1.05,2020
France,France Ligue 7,(LEN),Gael Kakuta,10,1,786,5,4.14,0.5,18,6,2.18,0.73,2020
England,Premier League,(SOU),James Ward-Prowse,10,0,960,4,0.71,0.07,10,7,0.99,0.69,2020
England,Premier League,(MNU),Bruno Fernandes,9,0,809,7,5.45,0.64,30,14,3.52,1.64,2020
England,Premier League,(EVE),Dominic Calvert-Lewin,10,0,940,10,7.12,0.72,32,18,3.23,1.82,2020
England,Premier League,(CHE),Timo Werner,10,0,876,4,3.69,0.4,23,10,2.49,1.08,2020
England,Premier League,(NEW),Callum Wilson,9,0,835,7,6.5,0.74,18,8,2.05,0.91,2020
England,Premier League,(LIV),Diogo Jota,5,3,530,5,2.51,0.45,20,11,3.58,1.97,2020
England,Premier League,(CRY),Wilfried Zaha,8,0,779,5,4.35,0.53,18,7,2.2,0.85,2020
England,Premier League,(AVL),Jack Grealish,9,0,872,5,2.85,0.31,26,9,2.83,0.98,2020
England,Premier League,(WOL),Raul Jimenez,10,0,872,4,3.3,0.36,26,10,2.83,1.09,2020
England,Premier League,(WHU),Jarrod Bowen,10,0,845,4,2.94,0.33,22,5,2.47,0.56,2020
England,Premier League,(LEE),Patrick Bamford,10,0,898,7,7.28,0.77,40,17,4.23,1.8,2020
England,Premier League,(LIV),Mohamed Salah,9,0,831,8,6.12,0.7,35,15,4,1.71,2020
England,Premier League,(LEI),Jamie Vardy,8,1,780,8,8.7,1.06,21,15,2.56,1.83,2020
England,Premier League,(TOT),Harry Kane,10,0,956,7,6.64,0.66,39,15,3.88,1.49,2020
England,Premier League,None,Danny Ings ,7,0,662,5,2.58,0.37,15,9,2.15,1.29,2020
England,Premier League,(BHA),Neal Maupay,9,0,786,4,6.54,0.79,25,11,3.02,1.33,2020
England,Premier League,(AVL),Ollie Watkins,9,0,872,6,6.43,0.7,22,9,2.4,0.98,2020
England,Premier League,(LIV),Sadio Mane,8,1,785,4,4.88,0.59,27,13,3.27,1.57,2020
England,Premier League,(MNC),Riyad Mahrez,7,0,612,4,1.93,0.3,21,10,3.26,1.55,2020
England,Premier League,(TOT),Son Heung-Min,10,0,861,9,3.9,0.43,20,12,2.21,1.32,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Luciano ,16,3,1588,11,6.02,0.36,37,17,2.21,1.02,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(CEA),Vinicius ,16,1,1348,7,5.25,0.37,51,24,3.59,1.69,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(SAN),Marinho ,17,2,1662,13,7.52,0.43,58,26,3.32,1.49,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(PAL),Raphael Veiga,10,4,914,6,3.37,0.35,27,11,2.81,1.14,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(PAL),Luiz Adriano,14,3,1235,7,6.24,0.48,21,13,1.62,1,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(CEA),Cleber ,17,3,1336,5,6.75,0.48,41,13,2.92,0.92,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(VDG),German Cano,19,0,1733,10,10.03,0.55,37,22,2.03,1.21,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Pepe,15,3,1397,7,5.44,0.37,32,13,2.18,0.88,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Brenner None,9,6,1063,6,7.5,0.67,36,14,3.22,1.25,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(BOT),Matheus Babi,17,3,1709,6,5.94,0.33,32,14,1.78,0.78,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(FLU),Nene ,18,0,1434,7,4.38,0.29,35,13,2.32,0.86,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Bruno Henrique,15,1,1412,5,8.92,0.6,45,18,3.03,1.21,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(INT),Thiago Galhardo,16,5,1605,15,12.5,0.74,53,27,3.14,1.6,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(CAM),Keno ,19,3,1829,10,11.36,0.59,72,31,3.74,1.61,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(RBB),Alerrandro ,10,2,861,5,6.07,0.67,24,11,2.65,1.21,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(FOR),Wellington Paulista,13,8,1208,6,5.34,0.42,24,12,1.89,0.94,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(RBB),Claudinho ,19,1,1657,10,4.19,0.24,53,19,3.04,1.09,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(CFC),Robson,22,0,1937,6,8.56,0.42,53,17,2.6,0.83,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(FLA),Pedro ,12,6,1207,10,10.42,0.82,46,25,3.62,1.97,2020
Brazil,Campeonato Brasileiro SÃ©rie A,(CAP),Renato Kayzer,17,1,1639,7,7.59,0.44,46,21,2.67,1.22,2020
 Netherlands,Eredivisie,(MNU),Donny van de Beek,22,1,2023,8,4.9,0.23,44,16,2.07,0.75,2020
 Netherlands,Eredivisie,(AZA),Teun Koopmeiners,25,0,2336,11,9.34,0.38,35,18,1.42,0.73,2020
 Netherlands,Eredivisie,Aitor,Cantalapiedra ,21,0,1933,7,9.16,0.45,58,23,2.85,1.13,2020
 Netherlands,Eredivisie,(FEY),Bryan Linssen,25,0,2256,14,8.31,0.35,92,39,3.87,1.64,2020
 Netherlands,Eredivisie,Tim,Matavz ,24,1,2157,12,9.08,0.4,55,28,2.42,1.23,2020
 Netherlands,Eredivisie,(SEV),Oussama Idrissi,25,0,2047,13,7.11,0.33,67,34,3.11,1.58,2020
 Netherlands,Eredivisie,(AJA),Dusan Tadic,25,0,2287,11,11.31,0.47,63,26,2.62,1.08,2020
 Netherlands,Eredivisie,(FEY),Steven Berghuis,24,0,2226,15,13.36,0.57,89,44,3.8,1.88,2020
 Netherlands,Eredivisie,(CSK),Chidera Ejuke,24,1,2147,9,6.55,0.29,60,25,2.65,1.11,2020
 Netherlands,Eredivisie,(AZA),Myron Boadu,24,0,2099,14,13.26,0.6,60,30,2.72,1.36,2020
 Netherlands,Eredivisie,(AJA),Klaas-Jan Huntelaar,6,12,938,9,6.91,0.7,32,17,3.24,1.72,2020
 Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,25,0,2265,11,12.64,0.53,70,31,2.94,1.3,2020
 Netherlands,Eredivisie,(EMM),Michael de Leeuw,26,0,2383,9,8.28,0.33,51,23,2.03,0.92,2020
 Netherlands,Eredivisie,(PSV),Donyell Malen,14,0,1245,11,8.91,0.68,59,32,4.5,2.44,2020
 Netherlands,Eredivisie,(RZA),Haris Vuckic,23,2,2194,11,6,0.26,38,17,1.65,0.74,2020
 Netherlands,Eredivisie,(UTR),Gyrano Kerk,24,0,2155,10,7.49,0.33,50,18,2.2,0.79,2020
 Netherlands,Eredivisie,(AJA),Quincy Promes,18,2,1573,12,9.77,0.59,56,30,3.38,1.81,2020
 Netherlands,Eredivisie,(PSV),Denzel Dumfries,25,0,2363,7,5.72,0.23,45,14,1.81,0.56,2020
 Netherlands,Eredivisie,None,Cyriel Dessers ,26,0,2461,15,14.51,0.56,84,43,3.24,1.66,2020
 Netherlands,Eredivisie,(PSV),Cody Gakpo,14,11,1557,7,4.43,0.27,38,15,2.32,0.92,2020
